,Protocol Type,Service,Flag,Logged In,Count,Serror Rate,Srv Serror Rate,Rerror Rate,Srv Rerror Rate,Same Srv Rate,Dst Host Count,Dst Host Srv Count,Dst Host Same Srv Rate,Dst Host Serror Rate,Dst Host Srv Serror Rate,Dst Host Rerror Rate,Dst Host Srv Rerror Rate,Difficulty Level,Class
0,1,69,5,0,147,1.0,1.0,0.0,0.0,0.05,255,4,0.02,1.0,1.0,0.0,0.0,18,0
1,1,29,5,0,193,1.0,1.0,0.0,0.0,0.06,255,12,0.05,1.0,1.0,0.0,0.0,18,0
2,1,24,9,1,4,0.0,0.0,0.0,0.0,1.0,99,99,1.0,0.0,0.0,0.15,0.15,11,0
3,1,54,5,0,6,1.0,1.0,0.0,0.0,1.0,68,136,0.38,0.97,0.19,0.0,0.0,14,0
4,1,49,5,0,287,1.0,1.0,0.0,0.0,0.06,255,18,0.07,1.0,1.0,0.0,0.0,21,0
5,0,15,9,0,238,0.0,0.0,0.0,0.0,1.0,255,9,0.04,0.0,0.0,0.0,0.0,18,0
6,1,37,5,0,228,1.0,1.0,0.0,0.0,0.06,255,14,0.05,1.0,1.0,0.0,0.0,21,0
7,1,26,1,0,83,0.0,0.0,1.0,1.0,0.2,255,17,0.07,0.0,0.0,1.0,1.0,18,0
8,1,31,5,0,125,1.0,1.0,0.0,0.0,0.15,255,19,0.07,1.0,1.0,0.0,0.0,21,0
9,1,49,1,0,105,0.0,0.0,1.0,1.0,0.15,255,14,0.05,0.0,0.0,1.0,1.0,21,0
10,1,60,5,0,46,0.98,1.0,0.02,0.0,0.24,255,44,0.17,1.0,1.0,0.0,0.0,18,0
11,1,31,5,0,127,1.0,1.0,0.0,0.0,0.02,255,3,0.01,1.0,1.0,0.0,0.0,19,0
12,1,18,5,0,56,1.0,1.0,0.0,0.0,0.25,255,65,0.25,1.0,1.0,0.0,0.0,19,0
13,1,57,5,0,136,1.0,1.0,0.0,0.0,0.15,255,16,0.06,1.0,1.0,0.0,0.0,18,0
14,1,20,5,0,62,1.0,1.0,0.0,0.0,0.18,255,65,0.25,1.0,1.0,0.0,0.0,18,0
15,1,49,5,0,170,1.0,1.0,0.0,0.0,0.09,255,15,0.06,1.0,1.0,0.0,0.0,21,0
16,1,40,5,0,248,1.0,1.0,0.0,0.0,0.0,255,3,0.01,1.0,1.0,0.0,0.0,20,0
17,1,49,5,0,105,1.0,1.0,0.0,0.0,0.07,255,8,0.03,1.0,1.0,0.0,0.0,21,0
18,2,49,9,0,67,0.0,0.0,0.0,0.0,1.0,255,67,0.26,0.02,0.0,0.0,0.0,16,0
19,1,49,5,0,92,1.0,1.0,0.0,0.0,0.01,255,18,0.07,1.0,1.0,0.0,0.0,20,0
20,1,30,5,0,143,1.0,1.0,0.0,0.0,0.06,255,8,0.03,1.0,1.0,0.0,0.0,20,0
21,1,37,5,0,296,1.0,1.0,0.0,0.0,0.08,255,24,0.09,1.0,1.0,0.0,0.0,20,0
22,1,41,5,0,236,1.0,1.0,0.0,0.0,0.07,255,17,0.07,1.0,1.0,0.0,0.0,21,0
23,1,49,5,0,212,1.0,1.0,0.0,0.0,0.02,255,4,0.02,1.0,1.0,0.0,0.0,21,0
24,1,5,1,0,109,0.0,0.0,1.0,1.0,0.17,255,16,0.06,0.0,0.0,1.0,1.0,18,0
25,1,8,5,0,296,1.0,1.0,0.0,0.0,0.01,255,4,0.02,1.0,1.0,0.0,0.0,18,0
26,1,49,5,0,242,1.0,1.0,0.0,0.0,0.06,255,3,0.01,1.0,1.0,0.0,0.0,21,0
27,1,49,5,0,172,1.0,1.0,0.0,0.0,0.07,255,3,0.01,1.0,1.0,0.0,0.0,19,0
28,1,18,5,0,47,1.0,1.0,0.0,0.0,0.36,255,70,0.27,1.0,1.0,0.0,0.0,18,0
29,1,49,5,0,106,1.0,1.0,0.0,0.0,0.07,255,18,0.07,1.0,1.0,0.0,0.0,21,0
30,1,23,5,0,122,1.0,1.0,0.0,0.0,0.02,255,2,0.01,1.0,1.0,0.0,0.0,19,0
31,1,63,5,0,119,1.0,1.0,0.0,0.0,0.15,255,2,0.01,1.0,1.0,0.0,0.0,18,0
32,0,15,9,0,102,0.0,0.0,0.0,0.0,1.0,255,102,0.4,0.0,0.0,0.0,0.0,19,0
33,1,28,1,0,238,0.0,0.0,1.0,1.0,0.03,255,6,0.02,0.0,0.0,1.0,1.0,20,0
34,1,11,5,0,270,1.0,1.0,0.0,0.0,0.07,255,20,0.08,1.0,1.0,0.0,0.0,20,0
35,1,49,5,0,115,0.99,1.0,0.0,0.0,0.07,255,12,0.05,1.0,1.0,0.0,0.0,21,0
36,0,15,9,0,91,0.0,0.0,0.0,0.0,1.0,255,91,0.36,0.0,0.0,0.0,0.0,18,0
37,1,19,5,0,249,1.0,1.0,0.0,0.0,0.08,255,19,0.07,1.0,1.0,0.0,0.0,20,0
38,1,26,5,0,124,1.0,1.0,0.0,0.0,0.15,255,19,0.07,1.0,1.0,0.0,0.0,19,0
39,1,49,5,0,140,1.0,1.0,0.0,0.0,0.06,255,31,0.12,1.0,1.0,0.0,0.0,18,0
40,1,38,1,0,163,0.0,0.0,1.0,1.0,0.04,255,6,0.02,0.0,0.0,1.0,1.0,18,0
41,1,49,5,0,141,1.0,1.0,0.0,0.0,0.03,255,8,0.03,1.0,1.0,0.0,0.0,21,0
42,1,49,5,0,151,1.0,1.0,0.0,0.0,0.13,255,20,0.08,1.0,1.0,0.0,0.0,21,0
43,1,26,5,0,134,1.0,1.0,0.0,0.0,0.13,255,18,0.07,1.0,1.0,0.0,0.0,19,0
44,1,17,5,0,144,1.0,1.0,0.0,0.0,0.06,255,8,0.03,1.0,1.0,0.0,0.0,19,0
45,1,26,1,0,143,0.0,0.0,1.0,1.0,0.1,255,14,0.05,0.0,0.0,1.0,1.0,20,0
46,1,4,1,0,258,0.0,0.0,1.0,1.0,0.02,255,5,0.02,0.0,0.0,1.0,1.0,18,0
47,1,49,1,0,162,0.0,0.0,1.0,1.0,0.02,255,4,0.02,0.0,0.0,1.0,1.0,21,0
48,1,49,5,0,206,1.0,1.0,0.0,0.0,0.09,255,18,0.07,1.0,1.0,0.0,0.0,21,0
49,1,67,5,0,207,1.0,1.0,0.0,0.0,0.05,255,20,0.08,1.0,1.0,0.0,0.0,18,0
50,1,18,5,0,32,1.0,1.0,0.0,0.0,0.53,255,74,0.29,1.0,1.0,0.0,0.0,18,0
51,1,69,5,0,278,1.0,1.0,0.0,0.0,0.09,255,25,0.1,1.0,1.0,0.0,0.0,18,0
52,1,28,5,0,224,1.0,1.0,0.0,0.0,0.03,255,3,0.01,1.0,1.0,0.0,0.0,20,0
53,1,49,5,0,115,1.0,1.0,0.0,0.0,0.01,255,2,0.01,1.0,1.0,0.0,0.0,21,0
54,1,56,5,0,130,1.0,1.0,0.0,0.0,0.08,255,9,0.04,1.0,1.0,0.0,0.0,20,0
